epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1001.75,1.14282,0.70772,1.11462,0.95794,0.82629,0.86484,0.56131,1.13632,0.62939,0.95306,0.0011882,0.0011882,0.0011882
43,1024.69,1.16215,0.70422,1.10789,0.95155,0.80282,0.83499,0.55683,1.12698,0.6244,0.94165,0.0011684,0.0011684,0.0011684
44,1047.99,1.13543,0.69667,1.10112,0.95673,0.80282,0.85784,0.56556,1.0919,0.61396,0.92664,0.0011486,0.0011486,0.0011486
45,1071.71,1.14865,0.69775,1.10759,0.94834,0.80751,0.85306,0.55952,1.15481,0.58445,0.95727,0.0011288,0.0011288,0.0011288
46,1095.62,1.15667,0.7001,1.12323,0.95685,0.80751,0.86805,0.56849,1.06457,0.56826,0.91714,0.001109,0.001109,0.001109
47,1119.11,1.13261,0.70835,1.09173,0.93014,0.81267,0.86538,0.55826,1.13353,0.57712,0.96505,0.0010892,0.0010892,0.0010892
48,1142.53,1.11646,0.68284,1.10515,0.94851,0.76995,0.81917,0.55044,1.08454,0.61502,0.92308,0.0010694,0.0010694,0.0010694
49,1166.17,1.12775,0.67684,1.09794,0.96015,0.83099,0.87604,0.58006,1.0958,0.56671,0.9319,0.0010496,0.0010496,0.0010496
50,1189.86,1.12016,0.69545,1.09853,0.9501,0.80449,0.86375,0.55721,1.12012,0.58748,0.95247,0.0010298,0.0010298,0.0010298
51,1213.22,1.1048,0.68083,1.09555,0.96068,0.80293,0.85192,0.56428,1.12003,0.62405,0.94527,0.00101,0.00101,0.00101
52,1237.05,1.11452,0.65885,1.09542,0.94675,0.83479,0.87441,0.56125,1.12214,0.58188,0.91491,0.0009902,0.0009902,0.0009902
53,1260.43,1.09382,0.66811,1.09215,0.96717,0.78873,0.86066,0.56145,1.13289,0.6093,0.92483,0.0009704,0.0009704,0.0009704
54,1283.6,1.08628,0.66153,1.0986,0.92478,0.8216,0.87377,0.57415,1.1124,0.56932,0.96262,0.0009506,0.0009506,0.0009506
55,1306.54,1.08783,0.65533,1.07255,0.9594,0.8169,0.86479,0.57304,1.10022,0.5836,0.92071,0.0009308,0.0009308,0.0009308
56,1329.36,1.09755,0.66719,1.09115,0.94553,0.81501,0.85428,0.55851,1.12044,0.60798,0.92257,0.000911,0.000911,0.000911
57,1352.38,1.091,0.66526,1.06917,0.96905,0.81221,0.86202,0.57407,1.10465,0.57552,0.9313,0.0008912,0.0008912,0.0008912
58,1375.6,1.05283,0.62505,1.0653,0.94939,0.81221,0.84823,0.56515,1.07992,0.58335,0.92792,0.0008714,0.0008714,0.0008714
59,1398.8,1.06846,0.6362,1.06199,0.95129,0.82522,0.86915,0.57349,1.0935,0.56348,0.92202,0.0008516,0.0008516,0.0008516
60,1422.09,1.06118,0.63547,1.06053,0.97143,0.79821,0.86726,0.56746,1.08223,0.56009,0.92437,0.0008318,0.0008318,0.0008318
61,1445.53,1.04966,0.61103,1.06173,0.96203,0.83273,0.8777,0.57668,1.11352,0.55815,0.94622,0.000812,0.000812,0.000812
62,1468.75,1.04232,0.60551,1.06138,0.95038,0.82629,0.8809,0.58776,1.07341,0.52145,0.91962,0.0007922,0.0007922,0.0007922
63,1491.89,1.05172,0.6263,1.06549,0.94133,0.83099,0.88202,0.57641,1.09046,0.54394,0.92285,0.0007724,0.0007724,0.0007724
64,1515.06,1.04551,0.60398,1.06085,0.9561,0.82629,0.88059,0.57647,1.07907,0.54347,0.92347,0.0007526,0.0007526,0.0007526
65,1538.52,1.03189,0.60924,1.0468,0.97023,0.82629,0.88536,0.57595,1.10877,0.54253,0.93545,0.0007328,0.0007328,0.0007328
66,1561.99,1.03228,0.60836,1.06059,0.96685,0.82162,0.87645,0.56916,1.09312,0.55304,0.93343,0.000713,0.000713,0.000713
67,1585.43,1.02415,0.60101,1.05972,0.95095,0.8216,0.86745,0.58355,1.06508,0.57757,0.91728,0.0006932,0.0006932,0.0006932
68,1608.45,1.02726,0.60322,1.04549,0.94529,0.82629,0.86954,0.57603,1.06319,0.53909,0.92605,0.0006734,0.0006734,0.0006734
69,1632.05,1.04203,0.59876,1.06244,0.95314,0.82629,0.87691,0.5685,1.11167,0.54963,0.94982,0.0006536,0.0006536,0.0006536
70,1655.19,1.02155,0.59486,1.0515,0.95721,0.8216,0.87729,0.58364,1.02953,0.55208,0.91328,0.0006338,0.0006338,0.0006338
71,1678.28,1.01349,0.59122,1.04361,0.94785,0.81221,0.86715,0.57773,1.0498,0.56701,0.92646,0.000614,0.000614,0.000614
72,1701.47,0.99078,0.58048,1.0416,0.96933,0.81221,0.86843,0.58547,1.02063,0.54595,0.90534,0.0005942,0.0005942,0.0005942
73,1724.46,1.00097,0.57492,1.04003,0.94713,0.8216,0.87815,0.58761,1.03963,0.52539,0.91358,0.0005744,0.0005744,0.0005744
74,1747.7,1.00059,0.57846,1.02828,0.96145,0.81956,0.87597,0.58009,1.02779,0.56217,0.89409,0.0005546,0.0005546,0.0005546
75,1771.03,1.00916,0.57463,1.02991,0.95997,0.80282,0.85985,0.58167,1.04501,0.51803,0.91808,0.0005348,0.0005348,0.0005348
76,1794.41,0.98694,0.56965,1.03853,0.96685,0.82157,0.8746,0.59272,1.00876,0.52626,0.88557,0.000515,0.000515,0.000515
77,1817.19,0.96614,0.55472,1.03031,0.97564,0.83568,0.87753,0.5954,1.02116,0.52406,0.89389,0.0004952,0.0004952,0.0004952
78,1840.55,0.97467,0.56055,1.02968,0.95664,0.82865,0.88303,0.58175,1.0455,0.5262,0.90369,0.0004754,0.0004754,0.0004754
79,1863.66,0.97103,0.55845,1.0272,0.94206,0.83971,0.86961,0.57915,1.05294,0.54205,0.90992,0.0004556,0.0004556,0.0004556
80,1886.78,0.96072,0.55018,1.02425,0.97782,0.82776,0.87878,0.58934,1.01742,0.53368,0.89568,0.0004358,0.0004358,0.0004358
81,1910.04,0.95718,0.53926,1.01296,0.96487,0.83099,0.87728,0.58026,1.06176,0.5478,0.92221,0.000416,0.000416,0.000416
82,1933.07,0.95964,0.54418,1.00958,0.95136,0.8264,0.86942,0.5842,1.02746,0.53706,0.90768,0.0003962,0.0003962,0.0003962
83,1955.86,0.94824,0.53755,1.02229,0.97283,0.8216,0.87534,0.58206,1.0369,0.52515,0.91063,0.0003764,0.0003764,0.0003764
84,1978.98,0.9432,0.53826,1.01303,0.96874,0.82629,0.87571,0.57927,1.01501,0.52421,0.90152,0.0003566,0.0003566,0.0003566
85,2001.92,0.95412,0.53992,1.00757,0.97444,0.8216,0.86438,0.57847,1.04996,0.53099,0.92333,0.0003368,0.0003368,0.0003368
86,2025.4,0.95648,0.54675,1.02435,0.95769,0.82629,0.87778,0.58933,1.01974,0.52807,0.90176,0.000317,0.000317,0.000317
87,2048.87,0.95172,0.53537,1.01094,0.98507,0.82629,0.87598,0.59279,1.01951,0.5395,0.89732,0.0002972,0.0002972,0.0002972
88,2071.91,0.92744,0.52564,1.00502,0.98219,0.82629,0.87422,0.59948,1.03581,0.54289,0.91058,0.0002774,0.0002774,0.0002774
89,2095.17,0.92021,0.52417,0.99826,0.96211,0.82629,0.87484,0.59086,1.0274,0.52195,0.90904,0.0002576,0.0002576,0.0002576
90,2118.48,0.90228,0.51156,0.99841,0.94375,0.84038,0.87979,0.59071,1.04667,0.54659,0.91368,0.0002378,0.0002378,0.0002378
91,2142.97,0.96442,0.49446,0.97715,0.95698,0.84977,0.88975,0.5867,1.09013,0.52787,0.93658,0.000218,0.000218,0.000218
92,2166.09,0.9491,0.49039,0.96943,0.94704,0.83954,0.88032,0.58557,1.06495,0.51026,0.92387,0.0001982,0.0001982,0.0001982
93,2189.11,0.93018,0.48186,0.95494,0.96189,0.83568,0.87729,0.57796,1.05469,0.51014,0.91781,0.0001784,0.0001784,0.0001784
94,2212.18,0.93772,0.47865,0.96155,0.96902,0.81221,0.87048,0.57859,1.04717,0.50672,0.9077,0.0001586,0.0001586,0.0001586
95,2235.24,0.92192,0.46905,0.9602,0.95442,0.83568,0.87475,0.57823,1.05267,0.51863,0.917,0.0001388,0.0001388,0.0001388
96,2258.12,0.91987,0.46912,0.95783,0.97129,0.8216,0.87719,0.59071,1.031,0.50921,0.90588,0.000119,0.000119,0.000119
97,2281.1,0.91077,0.45932,0.95419,0.95412,0.82629,0.87533,0.59108,1.03114,0.49937,0.9029,9.92e-05,9.92e-05,9.92e-05
98,2303.98,0.90412,0.46123,0.94302,0.96209,0.8169,0.8743,0.59082,1.02215,0.49263,0.90318,7.94e-05,7.94e-05,7.94e-05
99,2327.06,0.88939,0.44623,0.95259,0.95632,0.82227,0.8767,0.58726,1.02985,0.49343,0.90403,5.96e-05,5.96e-05,5.96e-05
100,2350.18,0.89148,0.45177,0.94885,0.9568,0.83196,0.87783,0.58158,1.03509,0.49474,0.9023,3.98e-05,3.98e-05,3.98e-05
